name,thash,impl,keygen,sign,verify,signature,pk,sk
sphincs-a-shake-128f,simple,ref,6861114,176440590,9035874,16720,32,64
sphincs-a-shake-192f,simple,ref,14555628,281397294,7353450,34896,48,96
sphincs-a-shake-256f,simple,ref,29112588,586596492,15740802,49312,64,128
sphincs-a-shake-128s,simple,ref,347407200,3628303722,12591234,6880,32,64
sphincs-a-shake-192s,simple,ref,533064942,6209945190,19292382,14568,48,96
sphincs-a-shake-256s,simple,ref,362125278,4942646316,31932360,27232,64,128
sphincs-a-sha2-128f,simple,ref,4157334,106933014,5569452,16720,32,64
sphincs-a-sha2-192f,simple,ref,8837622,173603070,4654278,34896,48,96
sphincs-a-sha2-256f,simple,ref,17439858,357693966,9646776,49312,64,128
sphincs-a-sha2-128s,simple,ref,208068264,2172320100,7584102,6880,32,64
sphincs-a-sha2-192s,simple,ref,319426722,3827118258,11723508,14568,48,96
sphincs-a-sha2-256s,simple,ref,215034228,3011033142,19147662,27232,64,128
sphincs-a-shake-128f,simple,shake-avx2,2218014,57069090,3558492,16720,32,64
sphincs-a-shake-192f,simple,shake-avx2,4614804,92073114,3028500,34896,48,96
sphincs-a-shake-256f,simple,shake-avx2,9563742,191187306,5983920,49312,64,128
sphincs-a-shake-128s,simple,shake-avx2,108983646,1139743980,4891482,6880,32,64
sphincs-a-shake-192s,simple,shake-avx2,171004500,1996754616,7254738,14568,48,96
sphincs-a-shake-256s,simple,shake-avx2,115604604,1582371720,11677806,27232,64,128
sphincs-a-sha2-128f,simple,sha2-avx2,1036602,26635716,2028186,16720,32,64
sphincs-a-sha2-192f,simple,sha2-avx2,2199276,45218790,1744038,34896,48,96
sphincs-a-sha2-256f,simple,sha2-avx2,4286574,91335474,3175290,49312,64,128
sphincs-a-sha2-128s,simple,sha2-avx2,51421086,537033762,2689650,6880,32,64
sphincs-a-sha2-192s,simple,sha2-avx2,78050718,988899534,3845970,14568,48,96
sphincs-a-sha2-256s,simple,sha2-avx2,52048332,764352612,6005448,27232,64,128
