name,thash,impl,keygen,sign,verify,signature,pk,sk
sphincs-shake-128f,simple,ref,7622514,178188408,10775124,17088,32,64
sphincs-shake-192f,simple,ref,11240172,290022120,15972588,35664,48,96
sphincs-shake-256f,simple,ref,29488050,593083386,15949980,49856,64,128
sphincs-shake-128s,simple,ref,493648758,3747092580,3602178,7856,32,64
sphincs-shake-192s,simple,ref,717515010,6427813662,5332932,16224,48,96
sphincs-shake-256s,simple,ref,470748762,5584718124,7709508,29792,64,128
sphincs-sha2-128f,simple,ref,4600566,107749800,6402438,17088,32,64
sphincs-sha2-192f,simple,ref,6705198,181354752,9365400,35664,48,96
sphincs-sha2-256f,simple,ref,17695728,362443014,9947394,49856,64,128
sphincs-sha2-128s,simple,ref,294665274,2237140404,2282346,7856,32,64
sphincs-sha2-192s,simple,ref,428811300,3954195432,3266478,16224,48,96
sphincs-sha2-256s,simple,ref,283132530,3503794590,4785678,29792,64,128
sphincs-shake-128f,simple,shake-avx2,2494854,58500990,4063716,17088,32,64
sphincs-shake-192f,simple,shake-avx2,3541392,91863954,5919426,35664,48,96
sphincs-shake-256f,simple,shake-avx2,9676188,193273884,6019830,49856,64,128
sphincs-shake-128s,simple,shake-avx2,159844320,1210947264,1491894,7856,32,64
sphincs-shake-192s,simple,shake-avx2,233254134,2093058036,2165706,16224,48,96
sphincs-shake-256s,simple,shake-avx2,153274212,1799699922,3085776,29792,64,128
sphincs-sha2-128f,simple,sha2-avx2,1143558,26872236,2204802,17088,32,64
sphincs-sha2-192f,simple,sha2-avx2,1662498,45405504,3003534,35664,48,96
sphincs-sha2-256f,simple,sha2-avx2,4327632,92059542,2967642,49856,64,128
sphincs-sha2-128s,simple,sha2-avx2,72597852,551233638,846486,7856,32,64
sphincs-sha2-192s,simple,sha2-avx2,105310692,1022229270,1201230,16224,48,96
sphincs-sha2-256s,simple,sha2-avx2,69033492,918473904,1701324,29792,64,128
